Vertices, Edges, Average Degree, Tarjan Vishkin, Tarjan Vishkin with Union Find
10000,1250,0.25,0,0
10000,2500,0.5,0,0
10000,5000,1,1,1
10000,10000,2,4312,4276
10000,11250,2.25,7277,6704
10000,12500,2.5,11547,9231
10000,13750,2.75,14300,10952
10000,15000,3,17469,12831
10000,20000,4,29208,19184
10000,25000,5,39374,24563
10000,30000,6,49770,29836
10000,35000,7,59868,34921
10000,40000,8,69877,39962
10000,45000,9,79899,44978
10000,50000,10,89904,49988
10000,60000,12,109926,59992
10000,70000,14,129986,69999
10000,80000,16,149736,79984
10000,100000,20,189978,99999
10000,120000,24,229980,119999
10000,160000,32,309969,159999
10000,240000,48,469956,239999
10000,320000,64,629938,319999
10000,480000,96,949910,479999
10000,640000,128,1.26988e+06,639999
10000,710000,142,1.40986e+06,709999
10000,980000,196,1.9498e+06,979999
