Vertices, Edges, Average Degree, Tarjan Vishkin, Tarjan Vishkin with Union Find
10000,5000,1,0.0044,0.004444
10000,10000,2,0.010191,0.008954
10000,11250,2.25,0.014842,0.0141
10000,12500,2.5,0.018573,0.01771
10000,13750,2.75,0.01706,0.015575
10000,15000,3,0.020547,0.018513
10000,20000,4,0.022984,0.019534
10000,25000,5,0.02749,0.024446
10000,30000,6,0.031604,0.026831
10000,35000,7,0.037151,0.030824
10000,40000,8,0.040218,0.034008
10000,45000,9,0.045937,0.035933
10000,50000,10,0.051341,0.042076
10000,60000,12,0.060238,0.048169
10000,70000,14,0.073114,0.055743
10000,80000,16,0.083201,0.064322
10000,100000,20,0.102857,0.079136
10000,120000,24,0.122595,0.095281
10000,160000,32,0.16195,0.133523
10000,240000,48,0.257992,0.205568
10000,320000,64,0.361142,0.283995
10000,480000,96,0.569996,0.457158
10000,640000,128,0.802324,0.616826
10000,710000,142,0.908032,0.729449
10000,980000,196,1.2849,1.03708
