Vertices, Edges, Average Degree, Tarjan Vishkin, Tarjan Vishkin with Union Find, Tarjan Vishkin Parallel, Tarjan Vishkin Parallel with Union Find
1000,2000,4,0.00012822,9.03338e-05,0.00768756,0.00752427
2000,4000,4,0.000220292,0.000202387,0.00746841,0.00744753
3000,6000,4,0.000284248,0.000327354,0.00853591,0.00888593
4000,8000,4,0.000427037,0.00042222,0.00737277,0.00756159
5000,10000,4,0.000530155,0.000530296,0.00870857,0.0097494
6000,12000,4,0.000650478,0.000654564,0.00953247,0.00922175
7000,14000,4,0.000738165,0.000713576,0.0093095,0.00939867
8000,16000,4,0.000947956,0.000922691,0.0109595,0.0115854
9000,18000,4,0.00100574,0.00102287,0.0116768,0.0103394
10000,20000,4,0.00107193,0.00108085,0.0107176,0.0101963
11000,22000,4,0.00121334,0.00122007,0.0116088,0.0105315
