Vertices,Edges,Average Degree,Graph Name,Tarjan Vishkin,Tarjan Vishkin with Union Find,Decrease using Union Find (%)
31379,65910,4.2009,Graphs/graphs//as-caida_G_001.in,99220.0,65910.0,33.57
31379,66744,4.25406,Graphs/graphs//as-caida_G_002.in,100504.0,66744.0,33.59
31379,66680,4.24998,Graphs/graphs//as-caida_G_003.in,100052.0,66680.0,33.35
31379,68670,4.37681,Graphs/graphs//as-caida_G_004.in,103594.0,68670.0,33.71
31379,70026,4.46324,Graphs/graphs//as-caida_G_005.in,105734.0,70026.0,33.77
31379,71094,4.53131,Graphs/graphs//as-caida_G_006.in,107578.0,71094.0,33.91
31379,71658,4.56726,Graphs/graphs//as-caida_G_007.in,108300.0,71658.0,33.83
31379,72140,4.59798,Graphs/graphs//as-caida_G_008.in,108972.0,72140.0,33.8
31379,74344,4.73846,Graphs/graphs//as-caida_G_009.in,112994.0,74344.0,34.21
31379,74994,4.77988,Graphs/graphs//as-caida_G_010.in,113790.0,74994.0,34.09
31379,75118,4.78779,Graphs/graphs//as-caida_G_011.in,113682.0,75118.0,33.92
31379,76530,4.87778,Graphs/graphs//as-caida_G_012.in,116060.0,76530.0,34.06
31379,77002,4.90787,Graphs/graphs//as-caida_G_013.in,116526.0,77002.0,33.92
31379,75982,4.84286,Graphs/graphs//as-caida_G_014.in,114144.0,75982.0,33.43
31379,77124,4.91564,Graphs/graphs//as-caida_G_015.in,116070.0,77124.0,33.55
31379,77860,4.96255,Graphs/graphs//as-caida_G_016.in,117188.0,77860.0,33.56
31379,79718,5.08098,Graphs/graphs//as-caida_G_017.in,120460.0,79718.0,33.82
31379,80396,5.12419,Graphs/graphs//as-caida_G_018.in,121354.0,80396.0,33.75
31379,80970,5.16078,Graphs/graphs//as-caida_G_019.in,122250.0,80970.0,33.77
31379,80948,5.15937,Graphs/graphs//as-caida_G_020.in,121824.0,80948.0,33.55
31379,81882,5.2189,Graphs/graphs//as-caida_G_021.in,123078.0,81882.0,33.47
31379,82138,5.23522,Graphs/graphs//as-caida_G_022.in,123252.0,82138.0,33.36
31379,83524,5.32356,Graphs/graphs//as-caida_G_023.in,125588.0,83524.0,33.49
31379,83640,5.33095,Graphs/graphs//as-caida_G_024.in,125504.0,83640.0,33.36
31379,85850,5.47181,Graphs/graphs//as-caida_G_025.in,129298.0,85850.0,33.6
31379,85468,5.44746,Graphs/graphs//as-caida_G_026.in,128624.0,85468.0,33.55
31379,85744,5.46506,Graphs/graphs//as-caida_G_027.in,129026.0,85744.0,33.55
31379,84962,5.41521,Graphs/graphs//as-caida_G_028.in,127436.0,84962.0,33.33
31379,86566,5.51745,Graphs/graphs//as-caida_G_029.in,130456.0,86566.0,33.64
31379,86850,5.53555,Graphs/graphs//as-caida_G_030.in,131016.0,86850.0,33.71
31379,87232,5.5599,Graphs/graphs//as-caida_G_031.in,131662.0,87232.0,33.75
31379,87938,5.60489,Graphs/graphs//as-caida_G_032.in,132828.0,87938.0,33.8
31379,87784,5.59508,Graphs/graphs//as-caida_G_033.in,132474.0,87784.0,33.73
31379,88490,5.64008,Graphs/graphs//as-caida_G_034.in,133786.0,88490.0,33.86
31379,87560,5.5808,Graphs/graphs//as-caida_G_035.in,131956.0,87560.0,33.64
31379,88616,5.64811,Graphs/graphs//as-caida_G_036.in,133918.0,88616.0,33.83
31379,88654,5.65053,Graphs/graphs//as-caida_G_037.in,133966.0,88654.0,33.82
31379,88644,5.64989,Graphs/graphs//as-caida_G_038.in,133782.0,88644.0,33.74
31379,87804,5.59635,Graphs/graphs//as-caida_G_039.in,132142.0,87804.0,33.55
31379,89658,5.71452,Graphs/graphs//as-caida_G_040.in,135596.0,89658.0,33.88
31379,88944,5.66901,Graphs/graphs//as-caida_G_041.in,134120.0,88944.0,33.68
31379,89176,5.6838,Graphs/graphs//as-caida_G_042.in,134552.0,89176.0,33.72
31379,89678,5.7158,Graphs/graphs//as-caida_G_043.in,135298.0,89678.0,33.72
31379,89560,5.70828,Graphs/graphs//as-caida_G_044.in,134978.0,89560.0,33.65
31379,89152,5.68227,Graphs/graphs//as-caida_G_045.in,134134.0,89152.0,33.54
31379,90172,5.74728,Graphs/graphs//as-caida_G_046.in,135964.0,90172.0,33.68
31379,90002,5.73645,Graphs/graphs//as-caida_G_047.in,135596.0,90002.0,33.62
31379,90820,5.78858,Graphs/graphs//as-caida_G_048.in,137102.0,90820.0,33.76
