Vertices, Edges, Average Degree, Name, Tarjan Vishkin, Tarjan Vishkin with Union Find, Tarjan Vishkin Parallel, Tarjan Vishkin Parallel with Union Find
144649,1074393,14.8552,Graphs/graphs//144.in,3.86011,3.66666,3.19656,3.06307
110971,741934,13.3717,Graphs/graphs//598a.in,2.51618,2.44433,2.0578,2.00981
45292,108549,4.7933,Graphs/graphs//ak2010.in,0.518314,0.526973,0.2188,0.218988
252266,615241,4.87772,Graphs/graphs//al2010.in,11.0132,11.1907,1.54953,1.56959
735323,5158388,14.0303,Graphs/graphs//amazon-2008.in,19.7898,20.2864,16.7813,16.4787
186211,452155,4.85637,Graphs/graphs//ar2010.in,7.30631,7.44411,1.02397,1.02428
31379,65910,4.2009,Graphs/graphs//as-caida_G_001.in,0.12946,0.126036,0.132497,0.126856
31379,66744,4.25406,Graphs/graphs//as-caida_G_002.in,0.138907,0.134766,0.136048,0.130627
31379,66680,4.24998,Graphs/graphs//as-caida_G_003.in,0.133606,0.133118,0.133473,0.130795
31379,68670,4.37681,Graphs/graphs//as-caida_G_004.in,0.138311,0.134385,0.138306,0.135239
31379,70026,4.46324,Graphs/graphs//as-caida_G_005.in,0.140209,0.134115,0.137259,0.134969
31379,71094,4.53131,Graphs/graphs//as-caida_G_006.in,0.146884,0.140132,0.134726,0.131156
31379,71658,4.56726,Graphs/graphs//as-caida_G_007.in,0.145277,0.140637,0.142314,0.136305
31379,72140,4.59798,Graphs/graphs//as-caida_G_008.in,0.146719,0.142632,0.139422,0.135958
31379,74344,4.73846,Graphs/graphs//as-caida_G_009.in,0.151821,0.148854,0.147577,0.141903
31379,74994,4.77988,Graphs/graphs//as-caida_G_010.in,0.149528,0.144573,0.146129,0.141982
31379,75118,4.78779,Graphs/graphs//as-caida_G_011.in,0.154108,0.152163,0.144462,0.138541
31379,76530,4.87778,Graphs/graphs//as-caida_G_012.in,0.151916,0.146712,0.150563,0.144292
31379,77002,4.90787,Graphs/graphs//as-caida_G_013.in,0.153429,0.149651,0.149676,0.147504
31379,75982,4.84286,Graphs/graphs//as-caida_G_014.in,0.151894,0.148747,0.149085,0.143757
31379,77124,4.91564,Graphs/graphs//as-caida_G_015.in,0.156954,0.153872,0.150452,0.150367
31379,77860,4.96255,Graphs/graphs//as-caida_G_016.in,0.155849,0.149893,0.150579,0.14468
31379,79718,5.08098,Graphs/graphs//as-caida_G_017.in,0.162571,0.15844,0.154941,0.152526
31379,80396,5.12419,Graphs/graphs//as-caida_G_018.in,0.162858,0.163699,0.151659,0.148923
31379,80970,5.16078,Graphs/graphs//as-caida_G_019.in,0.163481,0.159339,0.156806,0.153473
31379,80948,5.15937,Graphs/graphs//as-caida_G_020.in,0.16329,0.159574,0.15481,0.150108
31379,81882,5.2189,Graphs/graphs//as-caida_G_021.in,0.164293,0.161,0.156367,0.151631
31379,82138,5.23522,Graphs/graphs//as-caida_G_022.in,0.168068,0.163765,0.158668,0.152184
31379,83524,5.32356,Graphs/graphs//as-caida_G_023.in,0.174986,0.17427,0.162027,0.159545
31379,83640,5.33095,Graphs/graphs//as-caida_G_024.in,0.177263,0.17216,0.157589,0.154076
31379,85850,5.47181,Graphs/graphs//as-caida_G_025.in,0.182094,0.1768,0.166121,0.160705
31379,85468,5.44746,Graphs/graphs//as-caida_G_026.in,0.184977,0.180289,0.164561,0.160181
