index,count,Tarjan-Vishkin Time,Tarjan-Vishkin (UF) Time,Tarjan-Vishkin (Parallel) Time,Tarjan-Vishkin (Parallel UF) Time,Decrease using parallel UF (%)
144.in,1,3.86,3.67,3.2,3.06,20.73
598a.in,1,2.52,2.44,2.06,2.01,20.24
ak2010.in,1,0.52,0.53,0.22,0.22,57.69
al2010.in,1,11.01,11.19,1.55,1.57,85.74
amazon-2008.in,1,19.79,20.29,16.78,16.48,16.73
ar2010.in,1,7.31,7.44,1.02,1.02,86.05
as-caida,123,0.19,0.19,0.18,0.17,12.4
aug2d.in,1,0.08,0.08,0.07,0.07,12.5
auto.in,1,14.02,13.5,10.65,10.32,26.39
az2010.in,1,9.56,10.03,1.49,1.5,84.31
bfly,6,0.17,0.17,0.09,0.09,36.45
biplane-9.in,1,0.57,0.6,0.07,0.07,87.72
ca2010.in,1,45.0,44.77,5.12,5.12,88.62
ca-GrQc.in,1,0.03,0.03,0.02,0.02,33.33
caidaRouterLevel.in,1,2.4,2.32,1.76,1.71,28.75
cca_G,5,0.09,0.09,0.05,0.05,46.67
cca.in,1,0.27,0.28,0.15,0.14,48.15
ccc_G,4,0.08,0.08,0.05,0.05,34.62
ccc.in,1,0.28,0.3,0.17,0.17,39.29
citationCiteseer.in,1,5.81,5.42,3.95,3.72,35.97
co2010.in,1,6.61,6.66,1.16,1.19,82.0
coAuthorsCiteseer.in,1,3.0,2.92,2.34,2.25,25.0
coAuthorsDBLP.in,1,4.47,4.37,3.15,3.2,28.41
cond-mat-2003.in,1,0.3,0.29,0.25,0.24,20.0
cond-mat.in,1,0.11,0.11,0.1,0.09,18.18
cti.in,1,0.14,0.13,0.08,0.08,42.86
data.in,1,0.03,0.03,0.02,0.02,33.33
dblp-2010.in,1,2.95,3.02,2.03,2.05,30.51
de2010.in,1,0.34,0.35,0.12,0.11,67.65
delaunay,9,1.37,1.4,0.41,0.4,51.87
Erdos,3,0.01,0.01,0.01,0.01,16.67
fe_,6,1.8,1.82,0.65,0.65,31.61
